domain,name,product_category,revenue_range,Total visits - November 2017,Total visits -  June 2017,Total visits - October 2017,SimilarWeb Rank-October,MUV - October
gravelagency.com,Gravel Agency Inc,Sporting Goods,$5 mil. - $10 mil.,3909.157768,583.268492,4738.509915,4017648,2289.249425
carterpaper.com,Carter Paper & Packaging Inc,Others,$5 mil. - $10 mil.,447.7987285,615.9545013,Data not found,Data not found,164.6383149
gamart.com.au,Graphic Art Mart,General Merchandise,$5 mil. - $10 mil.,9350.843046,9297.377148,11944.10588,2065609,6220.547701
hamptonsuncare.com,Hampton Sun,Others,$5 mil. - $10 mil.,368.0301868,847.4000816,950.9596097,11258712,315.6754997
triuswines.com,Trius Winery Site Design/Developed,Food And Beverage,$5 mil. - $10 mil.,28010.18964,71556.53302,2687.910617,5960737,1306.833811
furniturecart.com,Furniture Cart,Home Furnishings and Furniture,$5 mil. - $10 mil.,140739.4963,59263.69827,143912.382,380100,25600.38312
restauranteve.com,Restaurant Eve,Food And Beverage,$5 mil. - $10 mil.,1941.770682,3526.389062,1841.659882,6776057,1426.935246
benoistco.com,Benoist Company,Others,$5 mil. - $10 mil.,Data not found,Data not found,Data not found,Data not found,Data not found
dorismarket.com,Doris Market,Food And Beverage,$5 mil. - $10 mil.,43328.58422,31661.55867,10397.71381,2784663,4394.935175
nexemo.com,NEXEMO,Others,$5 mil. - $10 mil.,793.3438991,1167.425971,985.1015834,10049118,142.9193608
supermediastore.com,Supermediastore.com,Technology and Computing,$5 mil. - $10 mil.,246940.8062,70144.00656,97795.59732,613852,33552.67225
u-care.com.au,U-Care,"Art, Entertainment and Recreation",$5 mil. - $10 mil.,115.0349594,Data not found,54.71555954,32886230,Data not found
purecareinc.com,Pure Care Inc,Medical and Wellness,$5 mil. - $10 mil.,4889.640462,2085.470529,1990.879679,6427721,237.1826411
finearttapestries.com,Fine Art Tapestries,Home Furnishings and Furniture,$5 mil. - $10 mil.,2576.557239,929.4654937,442.6514299,14178496,100.0263799
patchofland.com,Patch of Land Inc,Finance,$5 mil. - $10 mil.,59417.11847,27115.07387,22808.78299,1529861,11122.90709
allstakesupply.com.au,All Stake Supply Co,General Merchandise,$5 mil. - $10 mil.,1563.88485,1840.784671,1065.055496,9040320,318.2128258
snackboxusa.com,Snack Box LLC,Food And Beverage,$5 mil. - $10 mil.,261.2053178,Data not found,311.7744163,16834633,328.6655401
fastlinegroup.com,Fastline Group,"Art, Entertainment and Recreation",$5 mil. - $10 mil.,109.9793366,3327.525756,492.5107911,15100069,195.5945966
namaya.com,NaMaYa Inc,Education,$5 mil. - $10 mil.,963.2951279,335.0735683,996.0103093,8548683,301.6263116
hackettpublishing.com,Hackett Publishing Company,Media and Publications,$5 mil. - $10 mil.,85011.83207,23237.50256,93121.88374,753161,24102.80766
nightriderjewelry.com,NightRider Jewelry,Style and Fashion,$5 mil. - $10 mil.,25462.72338,4774.69367,184861.0489,549847,1570.953156
unblinkinginfomatics.com,Unblinking Infomatics Inc,Others,$5 mil. - $10 mil.,315.3812113,Data not found,Data not found,Data not found,Data not found
nutrishopomaha.com,Nutrishop Omaha,General Merchandise,$5 mil. - $10 mil.,Data not found,68.61272828,72.0921612,31187082,170.6412809
preschoolofrock.com,Preschool,"Art, Entertainment and Recreation",$5 mil. - $10 mil.,724.383889,Data not found,1163.721787,9238982,Data not found
essentiallivingfoods.com,Essential Living Foods Inc,Food And Beverage,$5 mil. - $10 mil.,2979.658038,3045.418173,1933.917151,7587482,1493.358475
empressem.net,Empressem Technologies Inc,Consumer Electronics & Appliances,$5 mil. - $10 mil.,530.2645596,954.2246047,3639.237435,6226469,371.3411258
racerpartswholesale.com,Racer Parts Wholesale,Sporting Goods,$5 mil. - $10 mil.,60437.42343,37898.05323,57318.90361,864764,4964.057402
zipfizz.com,Zipfizz Corporation,Food And Beverage,$5 mil. - $10 mil.,13082.96617,12383.63967,51634.30764,1373613,3102.952353
palletwrapz.com,Pallet Wrapz Inc,Travel and Transportation,$5 mil. - $10 mil.,156.1770165,154.1404179,Data not found,Data not found,62.46520388
eagletshirts.com,EAGLE PRODUCTS,Apparel and Accessories,$5 mil. - $10 mil.,1597.299435,419.9981999,558.4353409,14015812,158.9315875
alfrescohome.com,Alfresco Home Inc,Home Furnishings and Furniture,$5 mil. - $10 mil.,4067.04456,53005.61346,1840.550489,5721399,664.7229123
excelimages.com,"Excel Images , Inc.",Media and Publications,$5 mil. - $10 mil.,2264.170389,1657.354326,1230.273437,5663967,1099.580556
bluelionapparel.com,Blue Lion Apparel LLC,Apparel and Accessories,$5 mil. - $10 mil.,238.7392882,460.1177187,11112.06438,3515173,310.4063888
theclubhouse.com,The Clubhouse,Gift and Novelty,$5 mil. - $10 mil.,3620.195137,2309.085047,2181.00021,6971158,1446.545882
waynecycle.com,WAYNE CYCLE SHOP INC,Automotive and Vehicles,$5 mil. - $10 mil.,855.8520859,1392.7754,1105.821681,8706399,Data not found
storesdirect.co.uk,Stores Direct Ltd,Home Furnishings and Furniture,$5 mil. - $10 mil.,8198.595694,1503.787576,22818.06837,1979317,293.7910472
talebtyres.com.au,Taleb Tyres,Automotive and Vehicles,$5 mil. - $10 mil.,2459.135112,1612.092138,1748.049255,5847768,736.1260539
shushans.com,Travel Vests,Apparel and Accessories,$5 mil. - $10 mil.,2268.161867,893.0022123,1358.008112,9247701,1061.588567
applaudservices.com,Applaud-IT,Technology and Computing,$5 mil. - $10 mil.,136.0726195,Data not found,Data not found,Data not found,Data not found
sixense.com,Sixense Entertainment Inc,Consumer Electronics & Appliances,$5 mil. - $10 mil.,61606.79783,40579.25714,19660.28356,2298585,9912.997918
mundial-usa.com,Mundial Inc,Business and Industrial,$5 mil. - $10 mil.,2051.860867,67427.85042,1424.51682,6705211,355.0628582
biltwellinc.com,Biltwell Inc,Apparel and Accessories,$5 mil. - $10 mil.,177997.7896,163634.1988,154684.8338,332908,19907.97316
stagerightlighting.com,Stage Right Lighting,General Merchandise,$5 mil. - $10 mil.,782.799107,1426.158194,1291.927794,6417294,476.5095233
americantiredepot.com,American Tire Depot,Automotive and Vehicles,$5 mil. - $10 mil.,116739.1348,105156.4227,163536.7728,324052,30024.49938
mcconechys.co.uk,McConechy's Tyre Services Ltd,Automotive and Vehicles,$5 mil. - $10 mil.,49717.60527,4733.326577,30638.59303,2085099,1618.755438
excelsports.com,Excel Sports,"Art, Entertainment and Recreation",$5 mil. - $10 mil.,116080.996,137648.0341,143015.9388,480427,34873.42206
balzacs.com,Balzac's Coffee Ltd,Food And Beverage,$5 mil. - $10 mil.,46213.06412,5294.804654,78804.56282,796525,4145.560933
brunton.com,Brunton Inc,Others,$5 mil. - $10 mil.,40700.58377,51867.39376,37006.21519,1080385,7064.836322
dollyparton.com,Dolly Parton,Medical and Wellness,$5 mil. - $10 mil.,238207.2943,16385.4991,171327.5037,430682,14707.09532
harviestoun.com,Harviestoun Brewery Ltd,Food And Beverage,$5 mil. - $10 mil.,15030.43923,585.4262875,1218.382959,7327697,547.7539768
officebarista.co.uk,Office Barista,Food And Beverage,$5 mil. - $10 mil.,6681.839842,290.4283655,1599.525982,7810790,387.9645955
audiobookstore.com,Audio Book Store,Other,$5 mil. - $10 mil.,257625.3445,217015.7533,552123.8462,168526,71248.78511
golfgym.com,GOLFGYM LLC,Sporting Goods,$5 mil. - $10 mil.,1009.526342,426.7579486,547.9618554,15365593,525.1480246
mancomm.com,Mancomm Inc,Others,$5 mil. - $10 mil.,1842.80713,2061.834206,3346.541711,5702126,2314.803418
uncorked.co.uk,Uncorked Ltd,Food And Beverage,$5 mil. - $10 mil.,823.6014405,3158.833846,1097.06554,8264699,953.6674459
hogrefe.co.uk,Hogrefe & Huber Publishers,Others,$5 mil. - $10 mil.,13293.90048,9473.771581,25076.47389,1861683,5512.202313
dbqproject.com,The DBQ Project,Education,$5 mil. - $10 mil.,88082.10383,87541.40982,81599.91236,986194,8460.930609
thenina.ca,Nina Haggerty Centre for the Arts,"Art, Craft and Collectibles",$5 mil. - $10 mil.,478.8857356,464.4496749,81.61419044,31309597,Data not found
tedsmotorcycleworld.com,Ted's Motorcycle World Inc,Automotive and Vehicles,$5 mil. - $10 mil.,373.9515963,12974.1566,22752.91821,1488433,956.8848027
yankeespirits.com,Yankee Spirits,Food And Beverage,$5 mil. - $10 mil.,15913.57151,31103.80193,4188.682354,3984023,3132.805663
bellalash.com,Bella Lash Extensions LLC,Style and Fashion,$5 mil. - $10 mil.,84213.43476,52528.15085,94140.20533,632198,5110.46273
jansen-display.co.uk,Jansen Display Ltd,Technology and Computing,$5 mil. - $10 mil.,4889.637937,2352.197207,37593.15104,1799939,1869.760235
crowdstacker.com,Crowdstacker Limited,Finance,$5 mil. - $10 mil.,67400.74684,12987.35506,7204.087886,3052267,1116.32627
fcs-live.com,FCS Live Limited,Others,$5 mil. - $10 mil.,596.0217089,227.2834249,154.990198,21266586,93.34461687
wetnose.com,Wet Nose Inc.,Other,$5 mil. - $10 mil.,2742.056737,653.7054111,24152.0804,2056955,920.0416465
minhasbrewery.com,Minhas Craft Brewery,Food And Beverage,$5 mil. - $10 mil.,4446.276923,49652.53682,5104.536074,4431173,1154.797351
westsidemovers.com,West Side Movers Inc,Finance,$5 mil. - $10 mil.,188.4811136,Data not found,92.4024613,28812159,32.47229284
twit.tv,TWiT,Media and Publications,$5 mil. - $10 mil.,1904705.896,1727163.197,1703260.537,57783,240097.3097
securicare.com,Securicare Ltd,Education,$5 mil. - $10 mil.,227.5270908,909.1149454,163.8285754,19715779,7.166238214
redwheelweiser.com,Red Wheel/Weiser LLC,Media and Publications,$5 mil. - $10 mil.,18724.69993,64449.15331,22536.75312,1937665,9792.388353
chambernation.com,Chamber Nation,Business and Industrial,$5 mil. - $10 mil.,838.6226708,60519.92953,1348.210741,8760547,812.7244651
vintagemalibu.com,Vintage Malibu,Style and Fashion,$5 mil. - $10 mil.,Data not found,Data not found,149.6251542,23630017,176.4717383
crazyrichards.com,Crazy Richard's Peanut Butter Company,Food And Beverage,$5 mil. - $10 mil.,19479.48048,3690.876374,1320.527663,8648668,1671.221236
reedssports.com,Reeds Sporting Goods,"Art, Entertainment and Recreation",$5 mil. - $10 mil.,136572.8845,198884.6064,31606.81429,1133357,6858.36745
brackobrothers.com,Bracko Brothers Furniture,Home Furnishings and Furniture,$5 mil. - $10 mil.,1839.898327,834.7224051,1537.954389,6166983,266.8288875
bstgroup.com.au,BST Group,Business and Industrial,$5 mil. - $10 mil.,797.0579704,138.5419208,1957.079717,7614022,783.8113367
abbottmagic.com,Abbott Magic Company,"Art, Entertainment and Recreation",$5 mil. - $10 mil.,10186.53599,67209.00674,63414.11292,775827,3816.184951
lightorama.com,Light-O-Rama Incorporated,Consumer Electronics & Appliances,$5 mil. - $10 mil.,305188.6741,14101.08558,128371.9782,394645,13207.62809
adeptivesw.com,Adeptive Software Corporation,Consumer Electronics & Appliances,$5 mil. - $10 mil.,8107.685873,12482.24294,13187.20319,1322813,1396.093983
augustawinery.com,The Augusta Winery,Food And Beverage,$5 mil. - $10 mil.,402.4425145,381.6037277,440.8279097,14103207,301.3729869
parcelmonkey.com,Parcel Monkey Ltd,Travel and Transportation,$5 mil. - $10 mil.,117752.8522,28908.96111,436769.0861,173023,25526.74004
libertywareusa.com,LibertyWare LLC,Home Furnishings and Furniture,$5 mil. - $10 mil.,1566.937739,1658.642242,396.6148385,15991946,158.9595598
mro-network.com,MRO Network,Automotive and Vehicles,$5 mil. - $10 mil.,15140.181,123178.0354,276178.3977,209107,25532.31141
natureshop.co.uk,Nature Shop Ltd,Sporting Goods,$5 mil. - $10 mil.,54837.33556,6527.30076,8070.710915,2840177,3911.864185
themountainhideaway.com,Mountain Hideaway Outdoor Outfitters,Sporting Goods,$5 mil. - $10 mil.,662.6426613,684.3891242,289.9996791,16369069,259.1787111
rao.com,R.A.O. Contract Sales Inc,Building Material and Garden Equipment and Supplies,$5 mil. - $10 mil.,70.65882684,231.5368199,605.6091694,12860842,108.3952241
polarmax.com,Polarmax,Apparel and Accessories,$5 mil. - $10 mil.,15845.90236,1126.859297,651.952379,11288821,983.0603555
balazsboxing.com,BALAZS INC,Sporting Goods,$5 mil. - $10 mil.,1140.965361,837.9622155,13554.89209,4017297,679.0422974
lunasandals.com,LUNA Sandals,Apparel and Accessories,$5 mil. - $10 mil.,23541.42374,102157.7392,16788.85553,1615399,12389.9432
mih-jeans.com,MiH Jeans Llc,Style and Fashion,$5 mil. - $10 mil.,65897.65964,94776.89589,62120.55611,676850,9122.765646
activemobility.com.au,Active Mobility Services Pty Ltd,Medical and Wellness,$5 mil. - $10 mil.,1546.361784,2425.698114,3029.965814,5370828,1422.584169
scmtd.com,Santa Cruz Metropolitan Transit District,Business and Industrial,$5 mil. - $10 mil.,140035.1144,60286.1539,143462.2973,448615,11497.1518
arcaudio.com,ARC Audio Inc,Automotive and Vehicles,$5 mil. - $10 mil.,8786.753977,212283.9826,35902.07328,966671,2789.737703
watco.co.uk,Watco,Others,$5 mil. - $10 mil.,13230.74038,7472.773749,79826.81174,661872,6754.999617
pooprints.com,Poo Prints,Science,$5 mil. - $10 mil.,1184.03305,1711.81567,1422.82965,8504012,969.0001151
autofx.com,Auto FX Software,Others,$5 mil. - $10 mil.,198668.6411,112009.7995,273074.9614,304897,50055.04849
chegworthvalley.com,Chegworth Valley Ltd,Food And Beverage,$5 mil. - $10 mil.,985.7740753,709.8259602,577.6841209,11157889,387.4160323
lovablelabels.ca,Lovable Labels Inc,"Art, Entertainment and Recreation",$5 mil. - $10 mil.,102280.2368,2541.161871,64998.54939,837816,3591.020118
europeanbodyart.com,EUROPEAN BODY ART,Style and Fashion,$5 mil. - $10 mil.,16182.16893,83312.152,3273.943777,5086192,1699.267384
ladybugflorist.com,LADYBUG FLORIST,Florists,$5 mil. - $10 mil.,35307.13004,1765.972426,1031.482845,7316173,454.811278
worldsofwow.com,Worlds,"Art, Craft and Collectibles",$5 mil. - $10 mil.,12505.74351,5867.309785,2550.862755,4025495,699.1635541
alternativeexports.com,Alternative Exports Inc,Others,$5 mil. - $10 mil.,130.8618539,511.2597934,99.21619966,31364742,160.63778
ivoryint.com,Ivory International Inc.,Apparel and Accessories,$5 mil. - $10 mil.,Data not found,Data not found,Data not found,Data not found,Data not found
deitaly.com,DEi iTALY,Travel and Transportation,$5 mil. - $10 mil.,Data not found,284.6903909,Data not found,Data not found,Data not found
samsonelectrical.com,Samson Electrical Supply Co. Inc,Consumer Electronics & Appliances,$5 mil. - $10 mil.,Data not found,Data not found,Data not found,Data not found,80.26898642
waterford.com,Waterford Crystal Limited,Home Furnishings and Furniture,$5 mil. - $10 mil.,180709.7182,51641.98684,129754.5722,537021,21569.88723
sunpyramid.com,Sun Pyramid Health,Medical and Wellness,$5 mil. - $10 mil.,501.0748791,274.1258898,209.0317511,18588362,418.5550925
darkstarbrewing.co.uk,Dark Star Brewing Co.,Food And Beverage,$5 mil. - $10 mil.,12558.67046,1932.239603,33468.14855,1873472,1787.621575
specialtycases.com,Specialty Cases Inc,Others,$5 mil. - $10 mil.,2782.056301,12081.36119,1394.403334,9297018,2108.3466
ayre.com,Ayre Acoustics Inc,Consumer Electronics & Appliances,$5 mil. - $10 mil.,13921.54125,12030.85544,9135.706588,2298994,7854.231251
hudsonprint.com,Hudson Graphics Inc,Media and Publications,$5 mil. - $10 mil.,Data not found,15.3455185,Data not found,Data not found,Data not found
technitrader.com,TechniTrader,Education,$5 mil. - $10 mil.,56689.65875,21315.51709,132391.4911,682551,7726.666507
goldbergcoins.com,Goldberg Coins,"Art, Craft and Collectibles",$5 mil. - $10 mil.,5058.728917,19937.84926,41113.44723,1648259,4782.801217
sportscapping.com,Sports Capping,"Art, Entertainment and Recreation",$5 mil. - $10 mil.,54478.55795,155406.6176,338896.1181,239948,9925.526798
jeffbanks.com.au,Jeff Banks,Style and Fashion,$5 mil. - $10 mil.,3093.752071,3494.076152,2446.864455,6176106,2857.701643
gardnermfg.com,GARDNER MANUFACTURING INC,Others,$5 mil. - $10 mil.,349.0168868,21.51535574,72.0921612,24021376,235.3400474
classicacura.com,Classic Acura,Automotive and Vehicles,$5 mil. - $10 mil.,832.0491686,684.9695638,274.2445916,12692071,386.0420252
flightdecksolutions.com,Flightdeck Solutions Ltd,Automotive and Vehicles,$5 mil. - $10 mil.,29692.69041,16693.9153,55980.6899,1045704,5582.138383
fortgarryhotel.com,The Fort Garry Hotel,Hospitality and Accomodation,$5 mil. - $10 mil.,3287.845033,1603.565864,3760.322777,5366773,1333.488054
harleyacademy.com,Harley Academy,Medical and Wellness,$5 mil. - $10 mil.,1786.029887,1950.982757,25831.57808,2004464,1793.409565
advancedauto.com,Advanced Auto Service & Tire Centers,Automotive and Vehicles,$5 mil. - $10 mil.,54638.43898,33607.5013,50645.39922,1083756,7216.102251
boothmed.com,Booth Medical Equipment Co Inc,Stationery and Office Products,$5 mil. - $10 mil.,9995.086533,5404.269038,4673.431243,4580154,1836.798631
puckator.co.uk,Puckator Ltd,Others,$5 mil. - $10 mil.,134018.5925,71164.77395,83378.52902,432714,7845.110087
orthodynamics.com,"Ortho-Dynamics, Inc",Other,$5 mil. - $10 mil.,829.7245495,533.9052674,153.7783037,26981951,71.74261523
safeserps.com,Safeserps Limited,Others,$5 mil. - $10 mil.,92.55573499,226.7685236,Data not found,Data not found,117.0287157
westmichiganlighting.com,"West Michigan Lighting , Inc.",Home Furnishings and Furniture,$5 mil. - $10 mil.,304.8498496,Data not found,352.1404124,11851069,Data not found
lickcreative.com,Lick Creative,Others,$5 mil. - $10 mil.,219.8831071,235.4128356,953.1658438,9742719,191.2924189
evolver.net,Evolver,Media and Publications,$5 mil. - $10 mil.,2570.15193,2168.589142,1568.572647,9221285,785.3213393
novascotiaorganics.com,Nova Scotia Organics,Others,$5 mil. - $10 mil.,12242.031,653.8602625,17907.1765,3202260,141.2228834
realityofwrestling.com,Reality,"Art, Entertainment and Recreation",$5 mil. - $10 mil.,3876.098692,994.6926021,4200.955677,4458567,1003.542408
heritagebooks.com,"Heritage Books , Inc.","Art, Entertainment and Recreation",$5 mil. - $10 mil.,14477.64645,1771.510376,1620.55949,7695081,1670.254966
choonmain.com,Cho,Style and Fashion,$5 mil. - $10 mil.,Data not found,Data not found,Data not found,Data not found,64.65108934
flatspot.com,Flatspot,Apparel and Accessories,$5 mil. - $10 mil.,275183.5709,281586.5697,472673.3249,143688,94058.37483
toledometalspinning.com,Toledo Metal Spinning Company,Others,$5 mil. - $10 mil.,1407.867957,708.982421,1807.162391,7184248,835.267276
thinktopia.com,Thinktopia Inc,Others,$5 mil. - $10 mil.,506.9661525,370.2254126,381.0960946,18054931,38.48600153
cycleops.com,CycleOps,Sporting Goods,$5 mil. - $10 mil.,320491.2284,45544.27897,135720.1779,515437,27732.83209
dlartglass.com,D&L Art Glass Supply,Building Material and Garden Equipment and Supplies,$5 mil. - $10 mil.,10496.69507,7566.084248,46531.05877,868395,3233.358158
domainmonster.com,Domainmonster.com Inc,Others,$5 mil. - $10 mil.,107434.4658,36321.04057,43542.5154,698825,12391.47003
xbrl.us,"XBRL US, Inc.",Technology and Computing,$5 mil. - $10 mil.,8617.174642,4089.608664,5301.565647,4680746,2230.589664
fischerskis.com,Fischer Skis Us Llc,Sporting Goods,$5 mil. - $10 mil.,436.0200246,281.9835824,460.9007804,14442154,159.7329318
encreme.com,LOOKBOOKS LOOKS,Business and Industrial,$5 mil. - $10 mil.,1245.193848,1599.258356,24453.85773,1410540,1109.727968
umpqua.com,Umpqua Feather Merchants,Sporting Goods,$5 mil. - $10 mil.,9406.003493,13655.95987,72956.38716,627524,6830.389426
doorcountybrewingco.com,Door County Brewing Company,Food And Beverage,$5 mil. - $10 mil.,29965.8874,1753.789966,692.010056,8897784,632.0828656
thealternativedaily.com,The Alternative Daily,Media and Publications,$5 mil. - $10 mil.,1391632.976,1538930.979,1543570.52,74664,338335.4233
wvgardenclub.com,West Virginia Garden Club Inc,"Art, Entertainment and Recreation",$5 mil. - $10 mil.,Data not found,168.6135222,280.5852799,20732401,123.2186734
pecans.com,Pecan Producers Inc,Food And Beverage,$5 mil. - $10 mil.,4857.660509,2585.838753,59160.11244,1096581,1169.36025
fernwoodpublishing.ca,Fernwood Publishing,Media and Publications,$5 mil. - $10 mil.,21708.82966,4959.334576,30320.08878,1341682,5309.629592
enjukuracing.com,Enjuku Racing Parts LLC,"Art, Entertainment and Recreation",$5 mil. - $10 mil.,367810.0099,358754.6737,575199.6195,123724,51397.77382
consumerlogicresearch.com,Consumer Logic Inc,Others,$5 mil. - $10 mil.,23391.43094,Data not found,845.0681417,8570737,404.3457663
nor-techboats.com,Nor-Tech Boats,Automotive and Vehicles,$5 mil. - $10 mil.,1905.857363,60245.3719,24585.2817,2167331,1347.943666
florencescoveljewelry.com,Florence Scovel,Style and Fashion,$5 mil. - $10 mil.,351179.1286,72340.17888,118616.9368,755293,12290.17623
santax.com,Dry Clean Super Center,Medical and Wellness,$5 mil. - $10 mil.,721.5053571,Data not found,145.4385569,20244726,56.0104998
getemboy.com,GET'EM BOY,Apparel and Accessories,$5 mil. - $10 mil.,245.6355583,Data not found,Data not found,Data not found,Data not found
eatsmartproducts.com,EatSmart Products,Technology and Computing,$5 mil. - $10 mil.,9774.588368,7264.357839,3764.452441,5240750,2265.653895
crimsonmim.com,Crimson Mim,Apparel and Accessories,$5 mil. - $10 mil.,212.9476605,Data not found,Data not found,Data not found,Data not found
longbottomcoffee.com,"Longbottom Coffee & Tea , Inc.",Food And Beverage,$5 mil. - $10 mil.,12086.92074,3624.074015,2862.088831,5877413,2057.270751
lelandfly.com,Leland Fly Fishing Outfitters LLC,Automotive and Vehicles,$5 mil. - $10 mil.,5605.108526,3186.58814,27608.99886,2292718,2443.439341
dayheating.com,Day Heating and Cooling,Building Material and Garden Equipment and Supplies,$5 mil. - $10 mil.,519.3569153,362.205779,353.4992419,18420159,144.3731908
rinehartracing.com,Rinehart Racing,Travel and Transportation,$5 mil. - $10 mil.,3956.607347,34837.34321,3664.924859,4655271,2369.923928
thewrightbuy.co.uk,The Wright Buy Ltd,Medical and Wellness,$5 mil. - $10 mil.,63372.53333,29471.42962,70203.92048,973818,8421.500753
pulsewan.com,Pulse Inc,Consumer Electronics & Appliances,$5 mil. - $10 mil.,148.1626992,449.7705908,908.5877769,10614698,153.8079379
momenta.com,Momenta,Stationery and Office Products,$5 mil. - $10 mil.,3611.437377,864.1164832,1674.85819,7764173,1146.217676
garrettwade.com,Garrett Wade's Email Newsletter Sign-Up,Building Material and Garden Equipment and Supplies,$5 mil. - $10 mil.,307199.8941,373494.8476,253751.8129,268472,44060.45808
clarkslanding.com,Clarks Landing,Other,$5 mil. - $10 mil.,416.9955016,169.6781627,357.3594794,16760019,44.3834507
sehmis.co.uk,Sehmi Builders Merchants Ltd,Building Material and Garden Equipment and Supplies,$5 mil. - $10 mil.,53.79652204,658.2289732,167.2351514,22464872,235.5293255
greendoorgourmet.com,Green Door Gourmet,Business and Industrial,$5 mil. - $10 mil.,1707.339166,2475.642788,634.361094,11981383,1202.454755
gothambarandgrill.com,Gotham Bar and Grill,Food And Beverage,$5 mil. - $10 mil.,13944.39046,6225.994746,7640.608049,3764875,3298.63828
greners.com,Greners.com,General Merchandise,$5 mil. - $10 mil.,123.5131555,Data not found,Data not found,Data not found,71.8287521
countrycupboardinc.com,Country Cupboard Inc,Food And Beverage,$5 mil. - $10 mil.,3520.467971,1863.793064,1454.350838,6288332,1090.678909
utopiaalley.com,Utopia Alley,Home Furnishings and Furniture,$5 mil. - $10 mil.,416.9607035,79.7022603,292.3124578,19821603,65.36038609
waterwayscruises.com,Waterways Cruises,"Art, Entertainment and Recreation",$5 mil. - $10 mil.,7733.654349,69091.39856,27439.78915,1593352,1157.116101
b-glowing.com,Beauty,Others,$5 mil. - $10 mil.,99828.12717,33924.43061,78642.00845,629834,15624.38688
pursuefitness.co.uk,Pursue Fitness Ltd,Apparel and Accessories,$5 mil. - $10 mil.,106872.0973,5491.198634,56736.04785,618009,9461.160776
airhead.com,Kwik Tek Inc,Others,$5 mil. - $10 mil.,9917.828475,18736.27547,7176.081131,3082539,5248.519666
otternurseries.co.uk,Otter Nurseries Garden Centres,Building Material and Garden Equipment and Supplies,$5 mil. - $10 mil.,42564.28856,Data not found,52698.71932,1555479,Data not found
prolinesupply.com,Pro Line Supply Inc,Home Furnishings and Furniture,$5 mil. - $10 mil.,323.8775435,408.2048692,Data not found,Data not found,Data not found
susieqbrand.com,Righetti Specialties Inc,Food And Beverage,$5 mil. - $10 mil.,2422.913417,3146.761328,815.8449675,8661341,898.0829192
steiffusa.com,Steiff Classic,Others,$5 mil. - $10 mil.,42177.74371,45978.06975,51193.12755,1211244,5714.084132
himac.com.au,Himac Ag,Technology and Computing,$5 mil. - $10 mil.,1555.899525,128376.8048,1441.813429,8065636,694.0491389
interiordefine.com,Interior Define,Home Furnishings and Furniture,$5 mil. - $10 mil.,54005.47115,67975.38701,133711.9031,445928,32520.75293
movado.com,Movado,Style and Fashion,$5 mil. - $10 mil.,323581.9676,321238.9589,468185.536,129306,55300.15309
theyogashop.co.uk,The Yoga Shop Ltd,"Art, Entertainment and Recreation",$5 mil. - $10 mil.,Data not found,41.66114442,Data not found,Data not found,Data not found
gvt.net,Green Valley Turf Company,"Art, Entertainment and Recreation",$5 mil. - $10 mil.,34729.03912,67903.45574,55725.587,1268675,3494.933023
industrialwebbing.com,INDUSTRIAL WEBBING CORP,Apparel and Accessories,$5 mil. - $10 mil.,26779.25458,62963.41194,5546.474088,4159051,3550.01176
islesurfandsup.com,Isle Surfboards,Sporting Goods,$5 mil. - $10 mil.,82310.64571,252632.9797,35410.99791,1259623,16313.55263
1800baskets.com,1-800-BASKETS.COM,Gift and Novelty,$5 mil. - $10 mil.,202148.7021,102048.0887,572642.8458,150213,21311.11195
distec.co.uk,Distec Ltd,Consumer Electronics & Appliances,$5 mil. - $10 mil.,1963.024891,713.4782311,1131.640882,10266619,512.6654655
wagjag.com,WagJag.com,Classifieds and Coupons,$5 mil. - $10 mil.,679344.2414,393011.207,408325.576,149360,57839.6644
dentalplanet.com,Dental Planet LLC,Medical and Wellness,$5 mil. - $10 mil.,26678.26064,42230.574,70815.37215,905497,6929.967767
creditoseconomicos.com,Creditos Economicos CREDICOSA S.A,Consumer Electronics & Appliances,$5 mil. - $10 mil.,175078.5146,103726.0551,300757.3907,276639,23643.11126
bioautomation.com,BioAutomation Corp,Others,$5 mil. - $10 mil.,Data not found,654.2987395,416.5443543,14068679,211.1406578
nutcrackersweet.com,Nutcracker Sweet Inc.,Gift and Novelty,$5 mil. - $10 mil.,8899.098598,2019.698376,2306.3174,5828761,1129.656185
nilah.com,Nilah & Company,Apparel and Accessories,$5 mil. - $10 mil.,425.2979006,807.8111632,Data not found,Data not found,290.011552
airtattoo.com,Royal International Air Tattoo,Others,$5 mil. - $10 mil.,55347.04291,175338.354,455353.7732,215596,7644.707443
esmarine.com,East Side Marine Inc,Automotive and Vehicles,$5 mil. - $10 mil.,291.0863832,764.3884022,Data not found,Data not found,131.7220978
rgcjax.com,Rockaway Garden Center LLC,Home Furnishings and Furniture,$5 mil. - $10 mil.,Data not found,Data not found,Data not found,Data not found,Data not found
davrontech.com,Davron Technologies Inc,Consumer Electronics & Appliances,$5 mil. - $10 mil.,974.635122,1123.238273,1436.083035,8807991,220.3684293
educationalcoin.com,Educational Coin Company,"Art, Craft and Collectibles",$5 mil. - $10 mil.,1737.782279,971.7562207,2276.794149,5661862,503.4629686
soundoasis.com,Sound Oasis,Technology and Computing,$5 mil. - $10 mil.,8269.99069,10269.54464,14297.52267,2606654,2954.615451
